week,price
1/4/13,63.1
1/11/13,62.1
1/18/13,62.1
1/25/13,62.1
2/1/13,62.1
2/8/13,62.1
2/15/13,62.1
2/22/13,62.1
3/1/13,62.1
3/8/13,62.1
3/15/13,62.1
3/22/13,62.1
3/29/13,62.1
4/5/13,64.1
4/12/13,64.1
4/19/13,64.1
4/26/13,64.1
5/3/13,65
5/10/13,65
5/17/13,66
5/24/13,66
5/31/13,66
6/7/13,66
6/14/13,66
6/21/13,66
6/28/13,66.25
7/5/13,66.25
7/12/13,68.25
7/19/13,68.25
7/26/13,68.25
8/2/13,68.25
8/9/13,68.5
8/16/13,68.5
8/23/13,68.5
8/30/13,68.5
9/6/13,68.5
9/13/13,68.5
9/20/13,68.5
9/27/13,68.5
10/4/13,68.5
10/11/13,68.5
10/18/13,68.5
10/25/13,68.5
11/1/13,69.5
11/8/13,69.5
11/15/13,69.5
11/22/13,68
11/29/13,68
12/6/13,68
12/13/13,68
12/20/13,68
12/27/13,68
1/3/14,68.5
1/10/14,68.5
1/17/14,68.5
1/24/14,68.5
1/31/14,68.5
2/7/14,68.5
2/14/14,68.65
2/21/14,68.65
2/28/14,68.65
3/7/14,68.65
3/14/14,68.65
3/21/14,67.9
3/28/14,67.9
4/4/14,68.15
4/11/14,68.97
4/18/14,68.97
4/25/14,68.17
5/2/14,68.17
5/9/14,68.17
5/16/14,68.17
5/23/14,68.17
5/30/14,65.5
6/6/14,65.5
6/13/14,65.15
6/20/14,65.15
6/27/14,64.5
7/4/14,64.5
7/11/14,64.6
7/18/14,64.6
7/25/14,63.7
8/1/14,63.7
8/8/14,62.75
8/15/14,62.75
8/22/14,62.75
8/29/14,62.75
9/5/14,62.75
9/12/14,62.75
9/19/14,63.3
9/26/14,63.3
10/3/14,66.55
10/10/14,65.55
10/17/14,65.55
10/24/14,65.55
10/31/14,65.55
11/7/14,63.55
11/14/14,63.55
11/21/14,65.3
11/28/14,65.3
12/5/14,63.55
12/12/14,65.3
12/19/14,65.3
12/26/14,65.3
1/2/15,66.55
1/9/15,63.15
1/16/15,63.15
1/23/15,63.15
1/30/15,63.15
2/6/15,63.15
2/13/15,63.15
2/20/15,61.15
2/27/15,61.15
3/6/15,61.15
3/13/15,61.15
3/20/15,61.15
3/27/15,61.15
4/3/15,61.15
4/10/15,60.92
4/17/15,60.92
4/24/15,60.92
5/1/15,60.9
5/8/15,60.9
5/15/15,58.9
5/22/15,58.9
5/29/15,58.75
6/5/15,58.75
6/12/15,58.75
6/19/15,58.75
6/26/15,56.9
7/3/15,58.05
7/10/15,53.2
7/17/15,53.2
7/24/15,53.2
7/31/15,53.2
8/7/15,53.2
8/14/15,53.2
8/21/15,51.9
8/28/15,51.9
9/4/15,51.9
9/11/15,51.9
9/18/15,51.95
9/25/15,51.95
10/2/15,51.1
10/9/15,51.1
10/16/15,52
10/23/15,52
10/30/15,52
11/6/15,52
11/13/15,48.95
11/20/15,48.95
11/27/15,48.95
12/4/15,48.95
12/11/15,48.95
12/18/15,48.95
12/28/15,48.95
1/8/16,48.6
1/15/16,48.6
1/22/16,48.6
1/29/16,48.6
2/5/16,48.4
2/12/16,48.4
2/19/16,48.4
2/26/16,48.4
3/4/16,48.6
3/11/16,48.6
3/18/16,48.6
3/25/16,48.6
4/1/16,46.6
4/8/16,46.6
4/15/16,46.6
4/22/16,46.6
4/29/16,43.55
5/6/16,43.55
5/13/16,43.55
5/20/16,43.5
5/27/16,42.1
6/3/16,42.1
6/10/16,42.1
6/17/16,42.1
6/24/16,42.1
7/1/16,43.35
7/8/16,43.35
7/15/16,43.35
7/22/16,43.35
7/29/16,43.35
8/5/16,42.35
8/12/16,42.35
8/19/16,42.35
8/26/16,42.35
9/2/16,42.35
9/9/16,42.35
9/16/16,41.45
9/23/16,41.45
9/30/16,41.45
10/7/16,40.75
10/14/16,42.25
10/21/16,42.25
10/28/16,42.25
11/4/16,42.25
11/11/16,42.25
11/18/16,42.25
11/25/16,42.25
12/2/16,42.25
12/9/16,45.75
12/16/16,45.75
12/23/16,45.75
12/30/16,45.75
1/6/17,44.3
1/13/17,44.3
1/20/17,45.75
1/27/17,45.75
2/3/17,45.8
2/10/17,45.8
2/17/17,46.25
2/24/17,46.25
3/3/17,46.25
3/10/17,45
3/17/17,45
3/24/17,45
3/31/17,45.15
4/7/17,46.6
4/14/17,45.6
4/21/17,45.6
4/28/17,45.6
5/5/17,45.6
5/12/17,45.6
5/19/17,45.6
5/26/17,45.65
6/2/17,45.5
6/9/17,45.5
6/16/17,45.5
6/23/17,45.65
6/30/17,45.65
7/7/17,45.8
7/14/17,45.8
7/21/17,45.75
7/28/17,45.65
8/4/17,45.65
8/11/17,45.65
8/18/17,45.65
8/25/17,45.65
9/1/17,46.25
9/8/17,46.25
9/15/17,46.1
9/22/17,46.1
9/29/17,46.1
10/6/17,45.4
10/13/17,45.4
10/20/17,45.4
10/27/17,45.45
11/3/17,45.45
11/10/17,46.2
11/17/17,46.2
11/24/17,46.2
12/1/17,46.2
12/8/17,46.2
12/15/17,46.2
12/22/17,46.2
12/29/17,46.2
1/5/18,45.15
1/12/18,45.15
1/19/18,45.15
1/26/18,45.05
2/2/18,45.05
2/9/18,45.05
2/16/18,45.05
2/23/18,47.05
3/2/18,47.05
3/9/18,47.05
3/16/18,46.45
3/23/18,46.45
3/30/18,46.45
4/6/18,45.05
4/13/18,45.05
4/20/18,45.05
4/27/18,44.3
5/4/18,44.3
5/11/18,44.3
5/18/18,44.3
5/25/18,45.65
6/1/18,45.65
6/8/18,47.05
6/15/18,47.05
6/22/18,48.5
6/29/18,48.5
7/6/18,51.5
7/13/18,51.5
7/20/18,53.1
7/27/18,53.1
8/3/18,54.76
8/10/18,54.76
8/17/18,56.45
8/24/18,56.45
8/31/18,56.45
9/7/18,58.2
9/14/18,58.2
9/21/18,58.2
9/28/18,58.2
10/5/18,60
10/12/18,60
10/19/18,60
10/26/18,60.85
11/2/18,60.85
11/9/18,60.85
11/16/18,61.85
11/23/18,61.85
11/30/18,61.85
12/7/18,63.75
12/14/18,63.75
12/21/18,63.75
12/28/18,63.75
1/4/19,65.7
1/11/19,65.7
1/18/19,67.7
1/25/19,67.7
2/1/19,67.7
2/8/19,67.7
2/15/19,67.95
2/22/19,67.95
3/1/19,70.05
3/8/19,70.05
3/15/19,70.05
3/22/19,70.05
3/29/19,70.2
4/5/19,70.2
4/12/19,67.05
4/19/19,67.05
4/26/19,63.15
5/3/19,63.15
5/10/19,61.35
5/17/19,61.35
5/24/19,60.3
5/31/19,60.3
6/7/19,53.4
6/14/19,53.4
6/21/19,52.2
6/28/19,52.2
7/5/19,52.2
7/12/19,48.3
7/19/19,48.3
7/26/19,48.3
8/2/19,49.8
8/9/19,49.8
8/16/19,49.8
8/23/19,49.8
8/30/19,51.35
9/6/19,51.35
9/13/19,52.9
9/20/19,52.9
9/27/19,54.55
10/4/19,56.25
10/11/19,57.9
10/18/19,57.9
10/25/19,57.9
11/1/19,57.9
11/8/19,57.9
11/15/19,57.9
11/22/19,52.4
11/29/19,52.4
12/6/19,52.4
12/13/19,51.95
12/20/19,50.75
12/27/19,50.75
1/3/20,52.3
1/10/20,54
1/17/20,54
1/24/20,54
1/31/20,50.4
2/7/20,50.4
2/14/20,45.5
2/21/20,45.5
2/28/20,44.05
3/6/20,44.05
3/13/20,44.05
3/20/20,45.4
3/27/20,45.4
4/3/20,46.8
4/10/20,46.8
4/17/20,46.8
4/24/20,46.8
5/1/20,42.05
5/8/20,42.05
5/15/20,42.05
5/22/20,42.05
5/29/20,43.5
6/5/20,43.5
6/12/20,43.5
6/19/20,43.5
6/26/20,43.5
7/3/20,43.5
7/10/20,42.45
7/17/20,42.45
7/24/20,42.45
7/31/20,42.45
8/7/20,42.45
8/14/20,42.45
8/21/20,42.45
8/28/20,42.45
9/4/20,42.45
9/11/20,42.45
9/18/20,42.45
9/25/20,42.45
10/2/20,42.45
10/9/20,42.45
10/16/20,42.45
10/23/20,42.45
10/30/20,42.45
11/6/20,42.5
11/13/20,43.8
11/20/20,43.8
11/27/20,43.8
12/4/20,45.15
12/11/20,45.15
12/18/20,45.15
12/25/20,45.15
1/1/21,45.15
1/8/21,45.85
1/15/21,45.85
1/22/21,47.25
1/29/21,47.25
2/5/21,48.7
2/12/21,48.7
2/19/21,50.2
2/26/21,50.2
3/5/21,51.75
3/12/21,51.75
3/19/21,53.35
3/26/21,53.35
4/2/21,53.35
4/9/21,52
4/16/21,52
4/23/21,52
4/30/21,53.6
5/7/21,53.6
5/14/21,53.6
5/21/21,53.6
5/28/21,55.25
6/4/21,55.25
6/11/21,55.25
6/18/21,55.25
6/25/21,56.95
7/2/21,53.4
7/9/21,56.95
7/16/21,55.05
7/23/21,55.05
7/30/21,55.05
8/6/21,55.05
8/13/21,55.05
8/20/21,56.75
8/27/21,56.75
9/3/21,58.85
9/10/21,58.85
9/17/21,60.65
9/24/21,60.65
10/1/21,62.5
10/8/21,64.4
10/15/21,64.4
10/22/21,64.4
10/29/21,67.15
11/5/21,67.15
11/12/21,72
11/19/21,72
11/26/21,72
12/3/21,74.2
12/10/21,74.2
12/17/21,74.2
12/24/21,74.2
12/31/21,74.2
1/7/22,70.8
1/14/22,70.8
1/21/22,73.35
1/28/22,73.35
2/4/22,73.35
2/11/22,73.35
2/18/22,73.35
2/25/22,73.35
3/4/22,79.55
3/11/22,79.55
3/18/22,81.8
3/25/22,81.8
4/1/22,92
4/8/22,92
4/15/22,94.85
4/22/22,94.85
4/29/22,96
5/6/22,96
5/13/22,98.95
5/20/22,98.95
5/27/22,102
6/3/22,102
6/10/22,102
6/17/22,109.9
6/24/22,109.9
7/1/22,141.3
7/8/22,141.3
7/15/22,142.55
7/22/22,142.55
7/29/22,142.55
8/5/22,141.5
8/12/22,141.5
8/19/22,145.85
8/26/22,145.85
9/2/22,145.85
9/9/22,176.5
9/16/22,181.95
9/23/22,181.95
9/30/22,187.55
10/7/22,187.55
10/14/22,180.25
10/21/22,180.25
10/28/22,185.8
11/4/22,191.5
11/11/22,191.5
11/18/22,191.5
11/25/22,191.5
12/2/22,197.4
12/9/22,203.45
12/16/22,203.45
12/23/22,209.7
12/30/22,209.7
1/6/23,115
1/13/23,115
1/20/23,117.75
1/27/23,117.75
2/3/23,97.75
2/10/23,97.75
2/17/23,100.75
2/24/23,100.75
3/3/23,97.5
3/10/23,97.5
3/17/23,80.5
3/24/23,80.5
3/31/23,83